,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
6795,San Juan,28144.0,Lopez School District,2632.0,Lopez Middle High School,P,12th Grade,11,10,0,1,0,3,0,2,0,0,6,2,0,0,1,2,0,0,0,0,2,9,11,11,10,9,11
6803,Whatcom,37903.0,Lummi Tribal Agency,5373.0,Lummi Nation School,Q,12th Grade,22,7,0,15,19,0,0,1,0,1,1,0,0,0,2,20,1,0,2,0,9,22,22,22,20,2,21
6825,Klickitat,20406.0,Lyle School District,3111.0,Lyle High School,P,12th Grade,21,10,0,11,1,0,0,4,0,2,14,0,0,0,4,12,1,0,3,0,1,21,21,21,17,9,20
6840,Whatcom,37504.0,Lynden School District,5466.0,IMPACT Reengagement Program,R,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1
6852,Whatcom,37504.0,Lynden School District,1983.0,Lynden Academy,A,12th Grade,19,12,0,7,0,0,0,2,0,0,17,1,0,0,0,3,0,0,1,1,2,18,19,19,19,16,19
6866,Whatcom,37504.0,Lynden School District,4201.0,Lynden High School,P,12th Grade,251,131,0,120,1,3,1,55,1,13,177,10,0,13,6,89,3,0,10,11,29,241,250,238,245,162,248
6893,Yakima,39120.0,Mabton School District,5289.0,Mabton Jr. Sr. High,P,12th Grade,51,24,0,27,0,0,0,51,0,0,0,15,0,0,2,48,10,0,1,0,8,36,51,51,49,3,41
6900,Douglas,9207.0,Mansfield School District,2233.0,Mansfield Elem and High School,P,12th Grade,8,4,0,4,1,0,0,1,0,0,6,0,0,0,0,4,0,0,0,1,2,8,8,8,8,4,8
6923,Chelan,4019.0,Manson School District,2623.0,Manson High School,P,12th Grade,47,24,0,23,0,0,0,30,0,0,17,9,0,0,2,37,3,0,0,1,8,38,45,47,45,10,44
6932,Mason,23311.0,Mary M Knight School District,5444.0,Mary M. Knight School,P,12th Grade,11,5,0,6,0,0,0,0,0,0,11,0,0,3,2,7,0,0,0,2,0,11,11,8,9,4,11
6961,Stevens,33207.0,Mary Walker School District,5446.0,Mary Walker Alternative Learning Experience,A,12th Grade,5,1,0,4,1,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,1,5,5,5,5,4,5
6971,Stevens,33207.0,Mary Walker School District,3311.0,Mary Walker High School,P,12th Grade,39,21,0,18,4,0,0,4,0,4,27,0,0,0,3,27,0,0,4,2,5,39,39,39,36,12,39
7021,Snohomish,31025.0,Marysville School District,1657.0,Heritage School,P,12th Grade,21,14,0,7,13,0,1,4,0,2,1,5,0,0,3,17,2,0,8,0,7,16,21,21,18,4,19
7034,Snohomish,31025.0,Marysville School District,1927.0,Legacy High School,P,12th Grade,95,57,0,38,10,0,2,14,1,9,59,2,0,3,16,43,0,1,14,7,25,93,93,92,79,52,95
7061,Snohomish,31025.0,Marysville School District,5478.0,Marysville Getchell High School,P,12th Grade,410,212,0,198,5,36,14,91,2,40,222,23,0,48,8,136,2,2,24,8,39,387,408,362,402,274,408
7071,Snohomish,31025.0,Marysville School District,5402.0,Marysville NWESD 189 Youth Engagement,R,12th Grade,56,24,0,32,6,0,1,13,1,4,31,0,0,0,1,32,0,0,34,0,2,56,56,56,55,24,56
7075,Snohomish,31025.0,Marysville School District,5213.0,Marysville Pilchuck High School,P,12th Grade,270,131,0,139,11,17,5,54,0,27,156,11,0,19,12,114,3,5,15,4,40,259,265,251,258,156,267
7079,Snohomish,31025.0,Marysville School District,1910.0,Marysville SD Special,S,12th Grade,9,1,0,8,0,0,0,2,0,1,6,0,0,0,0,5,0,0,1,0,9,9,7,9,9,4,9
7177,Spokane,32354.0,Mead School District,1803.0,Mead Alternative High School (Closed after 2018-2019 school year),A,12th Grade,37,18,0,19,0,0,0,1,0,2,34,0,0,0,10,25,0,0,12,3,8,37,37,37,27,12,37
7182,Spokane,32354.0,Mead School District,1858.0,Mead Education Partnership Prog,5,12th Grade,46,26,0,20,0,0,0,2,0,4,40,1,0,0,0,18,0,0,1,1,0,45,46,46,46,28,46
7196,Spokane,32354.0,Mead School District,5401.0,Mead Open Doors,R,12th Grade,6,2,0,4,0,0,0,1,0,1,4,0,0,0,1,0,0,0,1,0,0,6,6,6,5,6,6
7203,Spokane,32354.0,Mead School District,2402.0,Mead Senior High School,P,12th Grade,442,220,0,222,2,2,3,24,0,45,366,7,0,35,16,107,0,11,10,10,61,435,436,407,426,335,442
7229,Spokane,32354.0,Mead School District,4491.0,Mt Spokane High School,P,12th Grade,385,186,0,199,2,7,3,31,7,26,309,26,0,33,11,114,0,2,10,5,44,359,384,352,374,271,385
7246,Spokane,32354.0,Mead School District,5268.0,Riverpoint Academy (Closed after 2018-2019 school year),P,12th Grade,35,19,0,16,0,0,1,4,0,3,27,0,0,0,3,9,0,0,0,2,3,35,35,35,32,26,35
7267,Spokane,32326.0,Medical Lake School District,5042.0,Medical Lake Endeavors,A,12th Grade,11,3,0,8,1,0,0,0,0,1,9,0,0,0,0,5,0,0,3,0,2,11,11,11,11,6,11
7273,Spokane,32326.0,Medical Lake School District,2890.0,Medical Lake High School,P,12th Grade,130,51,0,79,0,1,4,12,0,8,105,0,0,7,2,32,0,16,4,11,11,130,128,123,128,98,130
7309,King,17400.0,Mercer Island School District,3029.0,Mercer Island High School,P,12th Grade,402,182,1,219,1,77,6,16,0,22,280,1,0,70,5,23,0,2,3,83,30,401,401,332,397,379,402
7337,Whatcom,37505.0,Meridian School District,2554.0,Meridian High School,P,12th Grade,137,71,0,66,1,8,0,23,1,9,95,3,0,8,2,51,2,3,4,11,24,134,136,129,135,86,135
7341,Whatcom,37505.0,Meridian School District,5448.0,Meridian Impact Re-Engagement,R,12th Grade,3,2,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,3,3,3,3,2,3
7369,Okanogan,24350.0,Methow Valley School District,2146.0,Liberty Bell Jr Sr High,P,12th Grade,49,25,0,24,0,1,1,2,0,2,43,0,0,26,0,18,0,0,1,2,8,49,49,23,49,31,49
7385,Okanogan,24350.0,Methow Valley School District,1621.0,Methow Valley Independent  L C,P,12th Grade,6,3,0,3,0,0,0,1,0,1,4,0,0,1,3,5,0,0,0,1,1,6,6,5,3,1,6
7400,Skamania,30031.0,Mill A School District,5480.0,Pacific Crest Innovation Academy,5,12th Grade,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
7431,Snohomish,31103.0,Monroe School District,1806.0,Leaders In Learning,A,12th Grade,31,16,0,15,0,0,1,11,0,2,17,2,0,0,9,23,0,0,9,3,11,29,31,31,22,8,31
7442,Snohomish,31103.0,Monroe School District,4528.0,Monroe High School,P,12th Grade,403,202,0,201,1,10,4,87,1,15,285,20,0,0,8,121,1,0,12,27,63,383,403,403,395,282,402
7448,Snohomish,31103.0,Monroe School District,1643.0,Out Of District Special Ed,S,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
7468,Snohomish,31103.0,Monroe School District,5154.0,Shoreline-Monroe High School,5,12th Grade,172,80,0,92,1,9,17,28,0,19,98,0,0,0,0,35,0,0,74,0,0,172,167,172,172,137,172
7472,Snohomish,31103.0,Monroe School District,1777.0,Sky Valley Education Center,5,12th Grade,70,43,0,27,1,1,0,3,1,7,57,0,0,0,0,5,0,0,3,2,0,70,70,70,70,65,70
7486,Snohomish,31103.0,Monroe School District,1883.0,Youth Re-Engagement,5,12th Grade,117,59,0,58,1,0,5,15,1,0,95,0,0,0,0,22,1,0,69,2,0,117,117,117,117,95,116
7495,Grays Harbor,14066.0,Montesano School District,2180.0,Montesano Jr-Sr High,P,12th Grade,80,38,0,42,2,1,0,13,0,7,57,4,0,9,2,27,0,1,7,4,16,76,79,71,78,53,80
7516,Lewis,21214.0,Morton School District,3112.0,Morton Junior-Senior High,P,12th Grade,22,8,0,14,0,1,0,1,0,3,17,0,0,0,1,13,0,1,2,0,2,22,22,22,21,9,22
7527,Grant,13161.0,Moses Lake School District,5273.0,Columbia Basin Technical Skills Center,V,12th Grade,80,32,0,48,0,0,1,52,0,1,26,0,0,0,0,40,8,0,10,0,0,80,80,80,80,40,72
7586,Grant,13161.0,Moses Lake School District,3215.0,Moses Lake High School,P,12th Grade,520,268,0,252,2,10,4,222,0,12,270,30,0,0,9,253,26,1,49,12,43,490,519,520,511,267,494
7622,Grant,13161.0,Moses Lake School District,5323.0,Skill Source Reingagement Program,R,12th Grade,114,64,0,50,0,1,0,62,0,0,51,5,0,0,1,85,3,1,47,3,17,109,113,114,113,29,111
7626,Lewis,21206.0,Mossyrock School District,5415.0,Mossyrock Academy,A,12th Grade,4,2,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,4,4,4,4,2,4
7639,Lewis,21206.0,Mossyrock School District,3238.0,Mossyrock Jr./Sr. High School,P,12th Grade,36,18,0,18,0,0,0,12,0,0,24,3,0,1,2,23,1,0,0,0,6,33,36,35,34,13,35
7658,Yakima,39209.0,Mount Adams School District,2532.0,White Swan High School,P,12th Grade,56,32,0,24,26,0,0,21,0,6,3,18,0,0,11,55,4,0,12,6,15,38,56,56,45,1,52
7702,Whatcom,37507.0,Mount Baker School District,2343.0,Mount Baker Senior High,P,12th Grade,147,61,0,86,5,1,0,17,1,6,117,5,0,11,1,68,0,0,9,6,11,142,146,136,146,79,147
7761,Skagit,29320.0,Mount Vernon School District,2295.0,Mount Vernon High School,P,12th Grade,500,249,0,251,3,18,3,252,7,21,196,41,0,0,14,281,96,1,24,25,48,459,498,500,486,219,404
7765,Skagit,29320.0,Mount Vernon School District,5449.0,Mount Vernon Open Doors,R,12th Grade,59,35,0,24,0,0,0,49,0,2,8,0,0,0,0,43,14,1,6,1,1,59,59,59,59,16,45
7768,Skagit,29320.0,Mount Vernon School District,3829.0,Mount Vernon Special Ed,S,12th Grade,17,5,0,12,0,0,0,10,1,0,6,1,0,0,0,11,1,0,0,0,17,16,17,17,17,6,16
7782,Skagit,29320.0,Mount Vernon School District,5960.0,Northwest Career & Technical Academy/A Washington State Skills Center,V,12th Grade,149,64,0,85,2,1,1,43,0,0,102,0,0,0,0,53,6,0,31,0,0,149,148,149,149,96,143
7787,Skagit,29320.0,Mount Vernon School District,1992.0,Skagit Academy,A,12th Grade,21,10,0,11,0,0,1,1,0,0,19,0,0,0,0,3,0,0,0,0,3,21,21,21,21,18,21
7808,King,17903.0,Muckleshoot Indian Tribe,1986.0,Muckleshoot Tribal School,Q,12th Grade,50,24,0,26,48,0,0,1,0,0,1,0,0,0,0,22,2,0,6,1,10,50,50,50,50,28,48
7822,Snohomish,31006.0,Mukilteo School District,4247.0,ACES High School,A,12th Grade,86,46,0,40,1,3,10,28,1,9,34,6,0,0,12,56,1,0,15,2,2,80,86,86,74,30,85
7881,Snohomish,31006.0,Mukilteo School District,4433.0,Kamiak High School,P,12th Grade,498,226,0,272,0,113,14,42,3,47,279,15,0,28,6,91,0,0,16,34,54,483,496,470,492,407,498
7892,Snohomish,31006.0,Mukilteo School District,3688.0,Mariner High School,P,12th Grade,518,242,0,276,8,67,49,189,14,42,149,90,0,5,13,327,1,0,37,9,80,428,513,513,505,191,517
7903,Snohomish,31006.0,Mukilteo School District,5498.0,Mukilteo Reengagement Academy Open Doors,R,12th Grade,29,13,0,16,0,3,2,15,0,2,7,3,0,0,0,9,0,0,12,0,1,26,29,29,29,20,29
7941,Snohomish,31006.0,Mukilteo School District,1848.0,Special Services,S,12th Grade,42,17,0,25,0,10,0,9,1,2,20,1,0,0,1,10,0,0,3,0,42,41,42,42,41,32,42
7966,Yakima,39003.0,Naches Valley School District,2591.0,Naches Valley High School,P,12th Grade,98,46,0,52,1,2,0,18,0,2,75,1,0,12,1,40,2,1,3,2,12,97,97,86,97,58,96
7985,Lewis,21014.0,Napavine School District,2273.0,Napavine Jr Sr High School,P,12th Grade,65,24,0,41,0,1,0,11,0,1,52,0,0,11,2,27,0,0,1,0,4,65,64,54,63,38,65
8000,Pacific,25155.0,Naselle-Grays River Valley School District,3295.0,Naselle-Grays River Valley Jr Sr High Schools,P,12th Grade,25,12,0,13,0,1,0,4,0,0,20,3,0,0,1,12,4,0,0,1,6,22,25,25,24,13,21
8007,Pacific,25155.0,Naselle-Grays River Valley School District,3599.0,Naselle Youth Camp School,I,12th Grade,58,0,0,58,0,2,8,19,1,5,23,6,0,0,0,12,3,0,38,22,24,52,55,58,58,46,55
8022,Pend Oreille,26056.0,Newport School District,2518.0,Newport High School,P,12th Grade,70,34,0,36,0,0,1,2,0,2,65,0,0,14,4,27,0,1,8,8,8,70,70,56,66,43,70
8027,Pend Oreille,26056.0,Newport School District,5118.0,Pend Oreille River School,A,12th Grade,24,11,0,13,5,0,0,1,0,1,15,0,0,0,4,18,0,0,2,1,5,24,24,24,20,6,24
8052,Spokane,32325.0,Nine Mile Falls School District,4333.0,Lakeside High School,P,12th Grade,112,57,0,55,1,1,2,9,0,5,94,0,0,0,1,29,0,2,2,2,18,112,112,112,111,83,112
8067,Spokane,32325.0,Nine Mile Falls School District,5417.0,Re-Engagement School (Nine Mile Falls),R,12th Grade,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,2
8086,Whatcom,37506.0,Nooksack Valley School District,2459.0,Nooksack Valley High School,P,12th Grade,114,61,0,53,4,1,1,36,0,2,70,9,0,3,1,55,6,0,6,9,19,105,113,111,113,59,108
8108,Grays Harbor,14064.0,North Beach School District No. 64,2728.0,North Beach Senior High School,P,12th Grade,46,23,0,23,2,1,2,3,1,5,32,0,0,12,2,33,1,0,4,1,14,46,46,34,44,13,45
8150,Franklin,11051.0,North Franklin School District,3272.0,Connell High School,P,12th Grade,136,67,0,69,0,0,0,86,0,1,49,18,0,0,2,89,32,0,4,1,14,118,136,136,134,47,104
8157,Franklin,11051.0,North Franklin School District,5499.0,CRCC-Open Doors,R,12th Grade,24,2,0,22,0,0,6,9,0,2,7,0,0,0,0,4,1,0,15,0,0,24,23,24,24,20,23
8176,Franklin,11051.0,North Franklin School District,1754.0,Palouse Junction High School,A,12th Grade,18,7,0,11,0,0,0,17,0,0,1,7,0,0,0,14,4,0,4,0,7,11,18,18,18,4,14
8184,Kitsap,18400.0,North Kitsap School District,5546.0,Choice Academy,A,12th Grade,10,6,0,4,0,0,0,1,0,1,8,0,0,0,0,4,0,0,6,0,0,10,9,10,10,6,10
8205,Kitsap,18400.0,North Kitsap School District,5085.0,Kingston High School,P,12th Grade,202,91,0,111,13,3,0,19,0,24,143,5,0,27,4,59,6,7,12,9,21,197,202,175,198,143,196
8218,Kitsap,18400.0,North Kitsap School District,3236.0,North Kitsap High School,P,12th Grade,315,163,0,152,2,14,4,36,4,29,226,7,0,56,5,66,3,31,7,16,25,308,315,259,310,249,312
8221,Kitsap,18400.0,North Kitsap School District,1677.0,North Kitsap Online Academy,A,12th Grade,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2
8227,Kitsap,18400.0,North Kitsap School District,1733.0,Parent Assisted Learning,A,12th Grade,28,12,0,16,2,0,0,4,0,2,20,0,0,0,0,9,0,1,6,0,1,28,28,28,28,19,28
8285,Mason,23403.0,North Mason School District,1680.0,James A. Taylor High School,A,12th Grade,23,9,0,14,3,0,0,5,0,0,15,2,0,0,6,18,0,3,8,2,5,21,23,23,17,5,23
8292,Mason,23403.0,North Mason School District,1861.0,North Mason Homelink Program,A,12th Grade,9,6,0,3,0,0,0,1,0,0,8,0,0,0,1,5,0,0,2,1,1,9,9,9,8,4,9
8299,Mason,23403.0,North Mason School District,3175.0,North Mason Senior High School,P,12th Grade,182,75,0,107,1,1,2,40,0,2,136,12,0,2,11,77,0,8,6,8,27,170,182,180,171,105,182
8311,Pacific,25200.0,North River School District,2292.0,North River School,P,12th Grade,7,2,0,5,0,0,0,1,0,1,5,0,0,0,0,4,0,0,0,0,2,7,7,7,7,3,7
8400,Thurston,34003.0,North Thurston Public Schools,3010.0,North Thurston High School,P,12th Grade,330,166,0,164,2,41,11,60,5,32,179,20,0,16,12,116,0,21,14,18,23,310,329,314,318,214,330
8419,Thurston,34003.0,North Thurston Public Schools,4427.0,River Ridge High School,P,12th Grade,330,153,0,177,7,27,20,75,14,43,144,14,0,2,25,136,0,29,13,27,39,316,330,328,305,194,330
8444,Thurston,34003.0,North Thurston Public Schools,4314.0,South Sound High School,A,12th Grade,123,67,0,56,6,4,3,32,3,12,63,7,0,0,32,85,0,6,23,15,28,116,122,123,91,38,123
8448,Thurston,34003.0,North Thurston Public Schools,3710.0,Timberline High School,P,12th Grade,386,200,0,186,1,23,20,63,12,52,215,7,0,6,24,146,0,36,25,29,43,379,383,380,362,240,386
8471,Stevens,33211.0,Northport School District,2958.0,Northport High School,P,12th Grade,14,7,0,7,1,0,0,1,0,1,11,0,0,1,0,10,0,0,1,0,3,14,14,13,14,4,14
8476,Stevens,33211.0,Northport School District,5252.0,Northport Homelink Program,A,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8504,King,17417.0,Northshore School District,3106.0,Bothell High School,P,12th Grade,336,166,0,170,2,37,10,53,0,33,201,13,0,10,4,62,0,0,9,24,51,323,335,326,332,274,336
8571,King,17417.0,Northshore School District,3492.0,Inglemoor HS,P,12th Grade,445,222,0,223,1,74,10,58,2,36,264,19,0,42,5,69,0,0,9,43,39,426,445,403,440,376,445
8624,King,17417.0,Northshore School District,5481.0,North Creek High School,P,12th Grade,324,158,0,166,4,83,4,40,0,24,169,15,0,17,2,48,0,0,5,39,29,309,324,307,322,276,324
8633,King,17417.0,Northshore School District,1814.0,Northshore Networks,A,12th Grade,52,26,0,26,0,4,1,4,0,3,40,1,0,0,0,0,0,0,5,7,6,51,52,52,52,52,52
8642,King,17417.0,Northshore School District,5331.0,Northshore Online Reengagement Program,R,12th Grade,22,6,0,16,1,0,1,3,0,1,16,0,0,0,0,0,0,0,9,1,3,22,22,22,22,22,22
8646,King,17417.0,Northshore School District,1815.0,Northshore Special Services,S,12th Grade,6,1,0,5,0,0,0,0,0,0,6,0,0,1,0,0,0,0,2,0,6,6,6,5,6,6,6
8658,King,17417.0,Northshore School District,3811.0,Secondary Academy for Success,A,12th Grade,48,30,0,18,0,4,2,10,0,6,26,1,0,0,4,22,0,0,5,2,12,47,48,48,44,26,48
8711,King,17417.0,Northshore School District,3396.0,Woodinville Community Center,I,12th Grade,6,0,0,6,0,0,4,1,0,0,1,0,0,0,0,4,0,0,3,0,4,6,6,6,6,2,6
8715,King,17417.0,Northshore School District,4208.0,Woodinville HS,P,12th Grade,465,236,0,229,0,58,3,36,1,49,318,8,0,39,5,47,0,0,9,61,49,457,464,426,460,418,465
8746,Island,15201.0,Oak Harbor School District,1758.0,Homeconnection,A,12th Grade,25,13,0,12,0,1,1,3,0,2,18,1,0,0,1,1,0,0,1,1,0,24,25,25,24,24,25
8759,Island,15201.0,Oak Harbor School District,5343.0,iGrad Academy,R,12th Grade,12,2,0,10,0,1,1,3,0,1,6,1,0,0,3,7,0,0,5,2,0,11,12,12,9,5,12
8772,Island,15201.0,Oak Harbor School District,2974.0,Oak Harbor High School,P,12th Grade,402,193,0,209,1,46,17,64,4,36,234,26,0,16,29,153,0,15,11,20,65,376,402,386,373,249,402
8799,Whitman,38324.0,Oakesdale School District,2432.0,Oakesdale High School,P,12th Grade,11,7,0,4,0,0,0,2,0,1,8,0,0,0,0,3,0,0,0,0,0,11,11,11,11,8,11
8815,Grays Harbor,14400.0,Oakville School District,2283.0,Oakville High School,P,12th Grade,13,5,0,8,3,0,0,2,0,0,8,4,0,0,0,10,0,0,0,0,1,9,13,13,13,3,13
8828,Pacific,25101.0,Ocean Beach School District,4220.0,Ilwaco High School,P,12th Grade,52,27,0,25,0,0,0,8,0,1,43,1,0,8,7,23,1,0,1,7,5,51,51,44,45,29,51
8841,Pacific,25101.0,Ocean Beach School District,5454.0,Ocean Beach Alternative School,A,12th Grade,11,9,0,2,1,0,0,1,0,3,6,0,0,0,7,11,1,0,1,3,0,11,11,11,4,0,10
8866,Grays Harbor,14172.0,Ocosta School District,3024.0,Ocosta Junior - Senior High,P,12th Grade,59,33,0,26,4,0,0,8,0,7,40,3,0,0,6,44,9,2,2,5,9,56,59,59,53,15,50
8873,Lincoln,22105.0,Odessa School District,2443.0,Odessa High School,P,12th Grade,14,8,0,6,0,0,0,2,0,0,12,0,0,0,0,7,0,0,0,0,0,14,14,14,14,7,14
8890,Thurston,34974.0,Office of the Governor (Sch for Blind),3799.0,Washington State School for the Blind,I,12th Grade,6,0,0,6,0,0,0,3,0,0,3,1,0,0,0,6,1,0,0,0,6,5,6,6,6,0,5
8906,Okanogan,24105.0,Okanogan School District,1980.0,Okanogan Alternative High School,5,12th Grade,10,6,0,4,1,0,1,3,0,1,4,2,0,0,0,10,1,0,6,0,0,8,10,10,10,0,9
8908,Okanogan,24105.0,Okanogan School District,3193.0,Okanogan Co Juvenile Detention,J,12th Grade,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,0,2
8912,Okanogan,24105.0,Okanogan School District,2246.0,Okanogan High School,P,12th Grade,60,30,0,30,4,0,0,14,0,5,37,2,0,0,6,27,0,0,1,3,6,58,60,60,54,33,60
8921,Okanogan,24105.0,Okanogan School District,5151.0,Okanogan Outreach Alternative School,5,12th Grade,25,12,0,13,3,0,1,6,0,6,9,1,0,0,7,21,1,0,7,1,0,24,25,25,18,4,24
8927,Thurston,34111.0,Olympia School District,1768.0,Avanti High School,A,12th Grade,59,35,0,24,1,0,0,4,0,6,48,0,0,0,9,24,0,1,4,7,6,59,59,59,50,35,59
8940,Thurston,34111.0,Olympia School District,3960.0,Capital High School,P,12th Grade,340,160,0,180,1,21,5,55,1,25,232,9,0,0,8,97,1,2,5,25,49,331,340,340,332,243,339
9012,Thurston,34111.0,Olympia School District,3132.0,Olympia High School,P,12th Grade,486,240,0,246,1,50,12,38,0,45,340,10,0,0,6,101,0,4,14,35,47,476,482,486,480,385,486
9017,Thurston,34111.0,Olympia School District,5078.0,Olympia Regional Learning Academy,5,12th Grade,26,13,0,13,1,1,1,1,0,3,19,0,0,0,1,5,0,0,0,1,0,26,26,26,25,21,26
9079,Okanogan,24019.0,Omak School District,4279.0,Highlands High School,A,12th Grade,8,4,0,4,1,0,0,4,0,0,3,0,0,0,0,7,0,0,5,0,0,8,8,8,8,1,8
9088,Okanogan,24019.0,Omak School District,2031.0,Omak High School,P,12th Grade,94,44,0,50,25,1,0,18,0,10,40,4,0,5,9,55,0,0,7,1,26,90,93,89,85,39,94
9118,Okanogan,24019.0,Omak School District,5197.0,Washington Virtual Academy Omak High School,5,12th Grade,207,124,0,83,4,5,14,10,3,0,171,2,0,0,1,61,0,4,29,10,29,205,207,207,206,146,207
9136,Lewis,21300.0,Onalaska School District,2331.0,Onalaska High School,P,12th Grade,68,33,0,35,0,0,0,4,0,2,62,0,0,0,1,35,0,0,2,1,0,68,67,68,67,33,68
9157,San Juan,28137.0,Orcas Island School District,1892.0,OASIS K-12,5,12th Grade,13,7,0,6,0,0,0,2,0,0,11,1,0,0,0,4,0,0,4,1,2,12,13,13,13,9,13
9179,San Juan,28137.0,Orcas Island School District,2750.0,Orcas Island High School,P,12th Grade,34,17,0,17,1,4,0,2,1,1,25,3,0,1,1,11,0,0,1,2,7,31,34,33,33,23,34
9236,Okanogan,24410.0,Oroville School District,2706.0,Oroville Middle-High School,P,12th Grade,32,11,0,21,2,1,0,13,0,0,16,3,0,3,0,23,3,1,0,2,0,29,32,29,32,9,29
9243,Pierce,27344.0,Orting School District,2942.0,Orting High School,P,12th Grade,231,118,0,113,1,4,4,32,0,19,171,0,0,0,14,85,0,5,7,16,30,231,231,231,217,146,231
9267,Adams,1147.0,Othello School District,5367.0,Desert Oasis High School,A,12th Grade,26,10,0,16,0,0,0,25,0,0,1,9,0,0,0,24,5,1,7,1,0,17,26,26,26,2,21
9297,Adams,1147.0,Othello School District,3015.0,Othello High School,P,12th Grade,242,133,0,109,0,1,1,219,1,0,20,58,0,0,2,198,24,3,11,5,31,184,242,242,240,44,218
9340,Whitman,38301.0,Palouse School District,2634.0,Palouse High School,P,12th Grade,10,4,0,6,0,0,0,1,0,2,7,0,0,0,0,3,0,0,0,1,3,10,10,10,10,7,10
9362,Franklin,11001.0,Pasco School District,5164.0,Chiawana Senior High School,P,12th Grade,696,344,0,352,0,18,10,434,1,16,217,117,0,36,26,405,63,0,32,17,96,579,695,660,670,291,633
9438,Franklin,11001.0,Pasco School District,3912.0,New Horizons High School,A,12th Grade,196,86,0,110,2,2,2,164,1,4,21,47,0,1,21,159,18,0,37,9,18,149,196,195,175,37,178
9448,Franklin,11001.0,Pasco School District,2917.0,Pasco Senior High School,P,12th Grade,557,277,0,280,0,6,10,443,0,10,88,131,0,21,22,395,40,0,41,7,85,426,556,536,535,162,517
9514,Okanogan,24122.0,Pateros School District,2397.0,Pateros High School,P,12th Grade,27,14,0,13,0,0,0,17,0,1,9,1,0,0,0,18,4,0,1,0,6,26,27,27,27,9,23
9533,Lewis,21301.0,Pe Ell School District,2858.0,Pe Ell School,P,12th Grade,21,8,0,13,1,0,0,1,0,4,15,0,0,0,2,9,0,0,1,0,5,21,21,21,19,12,21
9572,Pierce,27401.0,Peninsula School District,4081.0,Gig Harbor High,P,12th Grade,446,222,0,224,2,11,5,40,4,41,343,14,0,28,13,68,0,9,15,40,30,432,444,418,433,378,446
9593,Pierce,27401.0,Peninsula School District,1516.0,Henderson Bay Alt High School,A,12th Grade,79,37,0,42,1,1,2,4,0,6,65,0,0,0,2,24,0,0,18,3,30,79,79,79,77,55,79
9613,Pierce,27401.0,Peninsula School District,2681.0,Peninsula High School,P,12th Grade,345,171,0,174,1,10,4,30,2,37,261,9,0,15,17,107,0,9,17,15,41,336,344,330,328,238,345
9663,Garfield,12110.0,Pomeroy School District,2241.0,Pomeroy Jr Sr High School,P,12th Grade,35,22,0,13,0,1,0,2,0,1,31,0,0,27,0,16,1,2,0,1,6,35,35,8,35,19,34
9705,Clallam,5121.0,Port Angeles School District,4003.0,Lincoln High School,A,12th Grade,36,19,0,17,3,0,0,3,0,5,25,0,0,0,4,27,0,0,15,3,9,36,35,36,32,9,36
9714,Clallam,5121.0,Port Angeles School District,2908.0,Port Angeles High School,P,12th Grade,260,133,0,127,9,6,1,24,1,21,198,9,0,27,4,101,0,1,6,24,16,251,259,233,256,159,260
9742,Jefferson,16050.0,Port Townsend School District,1798.0,OCEAN,A,12th Grade,4,2,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,4,4,4,4,3,4
9755,Jefferson,16050.0,Port Townsend School District,2503.0,Port Townsend High School,P,12th Grade,86,40,0,46,2,4,1,3,1,6,69,3,0,6,0,43,1,0,9,5,14,83,85,80,86,43,85
9776,Walla Walla,36402.0,Prescott School District,3575.0,Prescott Jr Sr High,P,12th Grade,15,8,0,7,0,0,0,15,0,0,0,2,0,0,0,15,3,0,0,0,0,13,15,15,15,0,12
9805,Benton,3116.0,Prosser School District,2508.0,Prosser High School,P,12th Grade,247,122,0,125,0,5,0,157,0,6,79,18,0,7,6,145,49,2,14,5,37,229,247,240,241,102,198
