,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
2132,Pierce,27901.0,Chief Leschi Schools,5549.0,Chief Leschi Schools,Q,12th Grade,43,21,0,22,37,0,1,3,0,1,1,0,0,0,0,0,0,0,6,2,9,43,43,43,43,43,43
2155,Jefferson,16049.0,Chimacum School District,3275.0,Chimacum Junior/Senior High School,P,12th Grade,75,46,0,29,1,2,2,5,0,6,59,3,0,9,1,25,0,1,4,6,9,72,75,66,74,50,75
2163,Jefferson,16049.0,Chimacum School District,5397.0,Open Doors Reengagement Program,R,12th Grade,11,6,0,5,0,0,0,1,0,1,9,0,0,0,0,8,0,0,5,0,3,11,11,11,11,3,11
2167,Jefferson,16049.0,Chimacum School District,1724.0,PI Program,A,12th Grade,11,5,0,6,1,0,0,0,0,1,9,0,0,1,0,2,0,0,3,0,2,11,11,10,11,9,11
2181,Asotin,2250.0,Clarkston School District,2299.0,Charles Francis Adams High School,P,12th Grade,159,82,0,77,2,2,6,15,1,6,127,3,0,11,11,58,0,1,10,10,18,156,157,148,148,101,159
2186,Asotin,2250.0,Clarkston School District,1617.0,Educational Opportunity Center,A,12th Grade,42,19,0,23,1,1,2,2,0,0,36,0,0,0,1,24,0,0,18,0,8,42,42,42,41,18,42
2189,Asotin,2250.0,Clarkston School District,5413.0,Educational Opportunity Center Reengagement,R,12th Grade,25,15,0,10,1,0,0,4,0,0,20,1,0,0,1,17,0,0,8,0,2,24,25,25,24,8,25
2230,Asotin,2250.0,Clarkston School District,3616.0,Special Services,S,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
2249,Kittitas,19404.0,Cle Elum-Roslyn School District,2329.0,Cle Elum Roslyn High School,P,12th Grade,52,22,0,30,0,2,0,5,0,1,44,0,0,0,1,11,0,0,3,1,7,52,51,52,51,41,52
2254,Kittitas,19404.0,Cle Elum-Roslyn School District,1987.0,Swiftwater Alternative High School,A,12th Grade,18,10,0,8,0,0,0,1,0,1,16,0,0,0,3,13,0,0,6,0,2,18,16,18,15,5,18
2263,Pierce,27400.0,Clover Park School District,5027.0,General William H. Harrison Preparatory School,P,12th Grade,38,18,0,20,0,4,1,10,0,4,19,0,0,2,0,11,0,8,1,1,0,38,37,36,38,27,38
